picture_url,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_365,room_type_Entire home/apt,room_type_Other,room_type_Private room,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,distance_to_center,beds_per_bedroom,amenity_count,image_downloaded,mos
https://a0.muscache.com/pictures/miso/Hosting-31150305/original/c2b371b7-7f5e-45e7-9e76-73d518dfd61a.jpeg,2,1.0,1.0,2.0,265.0,30,1125,17,352,True,False,False,False,False,True,False,False,2.5773324970802944,2.0,12,True,6.5263661574572325
https://a0.muscache.com/pictures/miso/Hosting-31075308/original/c578f529-1b55-4652-aea8-75d4bfb721fa.jpeg,2,1.0,1.0,1.0,114.0,30,1125,9,192,False,False,True,False,True,False,False,False,6.674002022833656,1.0,46,True,6.444140477105975
https://a0.muscache.com/pictures/1c3bde37-c26e-48b8-9f5c-7de8f8dc09fe.jpg,4,2.0,2.0,2.0,350.0,30,1125,0,0,True,False,False,False,False,True,False,False,2.4235211826684018,1.0,14,True,6.21382000669837
https://a0.muscache.com/pictures/46a60d0a-2ad1-4496-bc9b-aced3ec6f808.jpg,1,1.0,1.0,1.0,164.0,30,92,0,121,False,False,True,False,True,False,False,False,3.799815410043103,1.0,41,True,6.908710600808263
https://a0.muscache.com/pictures/miso/Hosting-968146040275203709/original/60fd40b1-effa-46a5-b70e-9ded0d0add61.jpeg,4,1.0,1.0,1.0,150.0,30,365,5,278,True,False,False,False,True,False,False,False,10.284918709973933,1.0,11,True,7.391620880924165
https://a0.muscache.com/pictures/miso/Hosting-54305139/original/ec66b132-6c5f-4a32-8150-50bfab4e2136.jpeg,1,2.0,1.0,1.0,38.0,30,1125,18,258,False,False,True,False,True,False,False,False,7.269626547384789,1.0,11,True,7.420248633716255
https://a0.muscache.com/pictures/5f9fbc77-0bbf-4af6-bd59-0d8b58eb0b40.jpg,2,1.0,1.0,1.0,90.0,30,1125,0,0,False,False,True,False,True,False,False,False,3.498288783000631,1.0,18,True,6.492917079478502
https://a0.muscache.com/pictures/miso/Hosting-23045873/original/608e908b-930d-4c28-9625-947d55af36b4.jpeg,5,1.0,2.0,2.0,240.0,30,120,21,169,True,False,False,False,True,False,False,False,8.45036768826258,1.0,46,True,6.932542545720935
https://a0.muscache.com/pictures/60496552/a62b84a9_original.jpg,4,1.0,1.0,1.0,95.0,30,1125,0,0,True,False,False,False,True,False,False,False,6.68553820585225,1.0,4,True,5.970000192523003
https://a0.muscache.com/pictures/b95245a6-389a-492e-b9f0-ef8473ec1967.jpg,2,1.0,1.0,1.0,90.0,30,1125,0,0,False,False,True,False,False,True,False,False,1.1773912269540394,1.0,11,True,7.177426224574447
https://a0.muscache.com/pictures/miso/Hosting-659318499793428434/original/cfd5edc8-25dd-4885-8a09-1e945a35d5d2.jpeg,2,1.0,1.0,2.0,55.0,30,1125,2,62,False,False,True,False,True,False,False,False,15.451231899832218,2.0,39,True,7.341414894908667
https://a0.muscache.com/pictures/prohost-api/Hosting-812493084708535962/original/47778a06-1dbd-440f-81e7-9097b22090a2.jpeg,4,1.0,1.0,2.0,180.0,1,1125,18,353,False,False,True,False,False,True,False,False,4.620687496484118,2.0,21,True,7.4407688388600945
https://a0.muscache.com/pictures/miso/Hosting-721944394814891250/original/ce980ccc-b469-43b4-b73d-7aa0a5cfbe59.jpeg,2,1.0,1.0,1.0,300.0,30,30,2,242,True,False,False,False,False,True,False,False,1.0863767578485635,1.0,33,True,6.344182297587395
